"VanBanGoc","TenTask","LoaiTask","DoKho"
"Thi cuối kỳ môn Sinh lý học đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ sinh lý","ThiCuoiKy","3"
"Thầy nhắc nộp báo cáo Hóa sinh, mình cần kiểm tra lại format trước khi gửi.","Bo co hóa sinh","ThiCuoiKy","3"
"Mình cần chuẩn bị cho bài kiểm tra Kinh tế vĩ mô, độ khó khá cao.","Kiểm tra kinh tế vĩ","KiemTraThuongXuyen","5"
"Đồ án môn Trí tuệ nhân tạo yêu cầu cả báo cáo và source, mình đang soạn lại tài liệu.","Đồ n trí tuệ nhân","DuAn","3"
"Bài tập về nhà môn Lập trình Java cần hoàn thành sớm để kịp hạn nộp.","Bài tập lập trình java","BaiTap","3"
"Đợt thi giữa kỳ môn Toán rời rạc khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ ton rời","ThiCuoiKy","5"
"Thầy cô nhắc nộp bài tập nhóm Kế toán tài chính, mình đang tổng hợp nội dung.","Bài tập nhóm kế ton","BaiTap","3"
"Môn Giải phẫu học thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ giải phẫu","ThiCuoiKy","5"
"Mình cần nộp báo cáo môn Điện tử số trước hạn, hiện đang hoàn thiện số liệu.","Bo co điện tử số","ThiCuoiKy","3"
"Tuần này có bài kiểm tra môn Lịch sử Đảng, mình đang ôn lại nội dung chính.","Kiểm tra lịch sử đảng","KiemTraThuongXuyen","3"
"Mình phải nộp bài tập lớn Triết học Mác - Lênin trong tuần này, ai rảnh review giúp mình không?","Bài tập lớn triết học","BaiTap","3"
"Ai có đề cương thi cuối kỳ môn Phương trình vi phân cho mình xin tham khảo.","Thi cuối kỳ phương trình","ThiCuoiKy","3"
"Bài tập lớn môn Tâm lý học khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập lớn tâm lý","BaiTap","3"
"Chiều mai kiểm tra Tiếng Anh, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra tiếng anh","KiemTraThuongXuyen","3"
"Đồ án môn Lập trình mobile còn nhiều việc chưa xong, nhóm mình đang chạy deadline.","Đồ n lập trình mobile","DuAn","3"
"Mình chưa xong bài tập Lập trình SQL, tối nay phải làm dứt điểm.","Bài tập lập trình sql","BaiTap","3"
"Thi giữa kỳ môn Tài chính doanh nghiệp sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ tài chính","ThiCuoiKy","3"
"Báo cáo Cơ học kỹ thuật phải nộp trong tuần này, mình đang viết phần nhận xét.","Bo co cơ học kỹ","ThiCuoiKy","3"
"Mình cần chuẩn bị cho bài kiểm tra An toàn thông tin, độ khó khá cao.","Kiểm tra an toàn thông","KiemTraThuongXuyen","5"
"Deadline bài tập lớn môn Luật kinh tế sắp tới, mình đang hoàn thiện phần cuối.","Bài tập lớn luật kinh","ThiCuoiKy","3"
"Thi cuối kỳ môn Kỹ thuật số đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ kỹ thuật","ThiCuoiKy","3"
"Nhóm mình cần nộp bài tập môn Luật kinh tế trong tuần này.","Bài tập nhóm luật kinh","BaiTap","3"
"Bài tập môn Lập trình Prolog có vài câu khó, mình đang đối chiếu tài liệu.","Bài tập lập trình prolog","BaiTap","5"
"Mình cần ôn gấp cho bài thi giữa kỳ Toán cao cấp A3, nội dung khá nhiều.","Thi giữa kỳ ton cao","ThiCuoiKy","5"
"Thầy nhắc nộp báo cáo Vi xử lý, mình cần kiểm tra lại format trước khi gửi.","Bo co vi xử lý","ThiCuoiKy","3"
"Deadline đồ án Xử lý ảnh số đã gần, mình cần hoàn thiện phần demo.","Đồ n xử lý ảnh","ThiCuoiKy","3"
"Tuần này có bài kiểm tra môn Kỹ thuật nhiệt, mình đang ôn lại nội dung chính.","Kiểm tra kỹ thuật nhiệt","KiemTraThuongXuyen","3"
"Mình phải nộp bài tập lớn Truyền thông đa phương tiện trong tuần này, ai rảnh review giúp mình không?","Bài tập lớn truyền thông","BaiTap","3"
"Môn Động lực học thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ động lực","ThiCuoiKy","5"
"Bài tập về nhà môn Phân tích mạch điện cần hoàn thành sớm để kịp hạn nộp.","Bài tập phân tích mạch","BaiTap","3"
"Chiều mai kiểm tra Lý, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra lý","KiemTraThuongXuyen","3"
"Mình cần nộp báo cáo môn Điện lạnh trước hạn, hiện đang hoàn thiện số liệu.","Bo co điện lạnh","ThiCuoiKy","3"
"Đợt thi giữa kỳ môn Vật lý 2 khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ vật lý","ThiCuoiKy","5"
"Bài tập nhóm Thống kê ứng dụng đang thiếu một vài phần, cần họp nhóm gấp.","Bài tập nhóm thống kê","ThiCuoiKy","5"
"Mình chưa xong bài tập Hệ thống nhúng, tối nay phải làm dứt điểm.","Bài tập hệ thống nhúng","BaiTap","3"
"Mình cần chuẩn bị cho bài kiểm tra Hóa đại cương, độ khó khá cao.","Kiểm tra hóa đại cương","KiemTraThuongXuyen","5"
"Đồ án môn Mạng no-ron nhân tạo yêu cầu cả báo cáo và source, mình đang soạn lại tài liệu.","Đồ n mạng no-ron nhân","DuAn","3"
"Bài tập lớn môn Văn hóa doanh nghiệp khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập lớn văn hóa","BaiTap","3"
"Ai có đề cương thi cuối kỳ môn Kế toán quản trị cho mình xin tham khảo.","Thi cuối kỳ kế ton","ThiCuoiKy","3"
"Bài tập môn Kiến trúc máy tính có vài câu khó, mình đang đối chiếu tài liệu.","Bài tập kiến trúc my","BaiTap","5"
"Tuần này có bài kiểm tra môn Triết học, mình đang ôn lại nội dung chính.","Kiểm tra triết học","KiemTraThuongXuyen","3"
"Thầy cô nhắc nộp bài tập nhóm Phân tích thiết kế hệ thống, mình đang tổng hợp nội dung.","Bài tập nhóm phân tích","ThiCuoiKy","3"
"Thi giữa kỳ môn Kỹ thuật điện sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ kỹ thuật","ThiCuoiKy","3"
"Báo cáo Vật liệu xây dựng phải nộp trong tuần này, mình đang viết phần nhận xét.","Bo co vật liệu xây","ThiCuoiKy","3"
"Thi cuối kỳ môn Nguyên lý máy đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ nguyên lý","ThiCuoiKy","3"
"Deadline bài tập lớn môn Lý thuyết thông tin sắp tới, mình đang hoàn thiện phần cuối.","Bài tập lớn lý thuyết","ThiCuoiKy","3"
"Mình phải nộp bài tập lớn Giải tích trong tuần này, ai rảnh review giúp mình không?","Bài tập lớn giải tích","BaiTap","3"
"Chiều mai kiểm tra Toán cao cấp, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra ton cao cấp","KiemTraThuongXuyen","3"
"Bài tập về nhà môn Lý thuyết xác suất cần hoàn thành sớm để kịp hạn nộp.","Bài tập lý thuyết xc","BaiTap","3"
"Môn Lập trình C thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ lập trình","ThiCuoiKy","5"
"Đồ án môn Phát triển ứng dụng web còn nhiều việc chưa xong, nhóm mình đang chạy deadline.","Đồ n pht triển ứng","DuAn","3"
"Mình cần ôn gấp cho bài thi giữa kỳ Sinh thái học môi trường, nội dung khá nhiều.","Thi giữa kỳ sinh thi","ThiCuoiKy","5"
"Thầy nhắc nộp báo cáo Điều dưỡng cơ bản, mình cần kiểm tra lại format trước khi gửi.","Bo co điều dưỡng cơ","ThiCuoiKy","3"
"Nhóm mình cần nộp bài tập môn Tài chính quốc tế trong tuần này.","Bài tập nhóm tài chính","BaiTap","3"
"Mình cần chuẩn bị cho bài kiểm tra Pháp luật đại cương, độ khó khá cao.","Kiểm tra php luật đại","KiemTraThuongXuyen","5"
"Ai có đề cương thi cuối kỳ môn Cơ sở dữ liệu cho mình xin tham khảo.","Thi cuối kỳ cơ sở","ThiCuoiKy","3"
"Mình chưa xong bài tập Đại số tuyến tính, tối nay phải làm dứt điểm.","Bài tập đại số tuyến","BaiTap","3"
"Deadline đồ án Điều khiển tự động đã gần, mình cần hoàn thiện phần demo.","Đồ n điều khiển tự","ThiCuoiKy","3"
"Tuần này có bài kiểm tra môn Kinh tế vĩ mô, mình đang ôn lại nội dung chính.","Kiểm tra kinh tế vĩ","KiemTraThuongXuyen","3"
"Đợt thi giữa kỳ môn Nguyên lý kế toán khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ nguyên lý","ThiCuoiKy","5"
"Bài tập lớn môn Mạng máy tính khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập lớn mạng my","BaiTap","3"
"Mình cần nộp báo cáo môn Thực tập tốt nghiệp trước hạn, hiện đang hoàn thiện số liệu.","Bo co thực tập tốt","ThiCuoiKy","3"
"Chiều mai kiểm tra Lịch sử Đảng, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra lịch sử đảng","KiemTraThuongXuyen","3"
"Đồ án môn Hệ thống thông tin quản lý yêu cầu cả báo cáo và source, mình đang soạn lại tài liệu.","Đồ n hệ thống thông","DuAn","3"
"Thi cuối kỳ môn Máy điện đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ my điện","ThiCuoiKy","3"
"Bài tập môn Xác suất thống kê có vài câu khó, mình đang đối chiếu tài liệu.","Bài tập xc suất thống","BaiTap","5"
"Mình cần chuẩn bị cho bài kiểm tra Tiếng Anh, độ khó khá cao.","Kiểm tra tiếng anh","KiemTraThuongXuyen","5"
"Deadline bài tập lớn môn Kỹ thuật phần mềm sắp tới, mình đang hoàn thiện phần cuối.","Bài tập lớn kỹ thuật","ThiCuoiKy","3"
"Thi giữa kỳ môn Tiếng Anh 3 sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ tiếng anh","ThiCuoiKy","3"
"Báo cáo Vật lý thí nghiệm phải nộp trong tuần này, mình đang viết phần nhận xét.","Bo co vật lý thí","ThiCuoiKy","3"
"Bài tập nhóm Nghiên cứu thị trường đang thiếu một vài phần, cần họp nhóm gấp.","Bài tập nhóm nghiên cứu","ThiCuoiKy","5"
"Tuần này có bài kiểm tra môn An toàn thông tin, mình đang ôn lại nội dung chính.","Kiểm tra an toàn thông","KiemTraThuongXuyen","3"
"Đồ án môn Công nghệ phần mềm còn nhiều việc chưa xong, nhóm mình đang chạy deadline.","Đồ n công nghệ phần","DuAn","3"
"Môn Sinh lý học thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ sinh lý","ThiCuoiKy","5"
"Bài tập về nhà môn Giải tích số cần hoàn thành sớm để kịp hạn nộp.","Bài tập giải tích số","BaiTap","3"
"Chiều mai kiểm tra Kỹ thuật nhiệt, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra kỹ thuật nhiệt","KiemTraThuongXuyen","3"
"Mình cần ôn gấp cho bài thi giữa kỳ Giải tích 2, nội dung khá nhiều.","Thi giữa kỳ giải tích","ThiCuoiKy","5"
"Mình phải nộp bài tập lớn Kinh tế lượng trong tuần này, ai rảnh review giúp mình không?","Bài tập lớn kinh tế","BaiTap","3"
"Deadline đồ án Kỹ thuật phần mềm đã gần, mình cần hoàn thiện phần demo.","Đồ n kỹ thuật phần","ThiCuoiKy","3"
"Mình cần chuẩn bị cho bài kiểm tra Lý, độ khó khá cao.","Kiểm tra lý","KiemTraThuongXuyen","5"
"Thầy nhắc nộp báo cáo Hóa phân tích, mình cần kiểm tra lại format trước khi gửi.","Bo co hóa phân tích","ThiCuoiKy","3"
"Ai có đề cương thi cuối kỳ môn Giải phẫu học cho mình xin tham khảo.","Thi cuối kỳ giải phẫu","ThiCuoiKy","3"
"Thầy cô nhắc nộp bài tập nhóm Tâm lý khách hàng, mình đang tổng hợp nội dung.","Bài tập nhóm tâm lý","BaiTap","3"
"Tuần này có bài kiểm tra môn Hóa đại cương, mình đang ôn lại nội dung chính.","Kiểm tra hóa đại cương","KiemTraThuongXuyen","3"
"Mình chưa xong bài tập Lập trình Java, tối nay phải làm dứt điểm.","Bài tập lập trình java","BaiTap","3"
"Đợt thi giữa kỳ môn Kinh tế vĩ mô khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ kinh tế","ThiCuoiKy","5"
"Bài tập lớn môn Triết học Mác - Lênin khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập lớn triết học","BaiTap","3"
"Chiều mai kiểm tra Triết học, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra triết học","KiemTraThuongXuyen","3"
"Mình cần nộp báo cáo môn Hóa sinh trước hạn, hiện đang hoàn thiện số liệu.","Bo co hóa sinh","ThiCuoiKy","3"
"Đồ án môn Thiết kế web yêu cầu cả báo cáo và source, mình đang soạn lại tài liệu.","Đồ n thiết kế web","ThiCuoiKy","3"
"Thi cuối kỳ môn Phương trình vi phân đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ phương trình","ThiCuoiKy","3"
"Deadline bài tập lớn môn Tâm lý học sắp tới, mình đang hoàn thiện phần cuối.","Bài tập lớn tâm lý","ThiCuoiKy","3"
"Mình cần chuẩn bị cho bài kiểm tra Toán cao cấp, độ khó khá cao.","Kiểm tra ton cao cấp","KiemTraThuongXuyen","5"
"Đồ án môn Trí tuệ nhân tạo còn nhiều việc chưa xong, nhóm mình đang chạy deadline.","Đồ n trí tuệ nhân","DuAn","3"
"Báo cáo Điện tử số phải nộp trong tuần này, mình đang viết phần nhận xét.","Bo co điện tử số","ThiCuoiKy","3"
"Thi giữa kỳ môn Toán rời rạc sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ ton rời","ThiCuoiKy","3"
"Mình phải nộp bài tập lớn Luật kinh tế trong tuần này, ai rảnh review giúp mình không?","Bài tập lớn luật kinh","BaiTap","3"
"Tuần này có bài kiểm tra môn Pháp luật đại cương, mình đang ôn lại nội dung chính.","Kiểm tra php luật đại","KiemTraThuongXuyen","3"
"Bài tập lớn môn Truyền thông đa phương tiện khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập lớn truyền thông","BaiTap","3"
"Môn Kỹ thuật số thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ kỹ thuật","ThiCuoiKy","5"
"Bài tập môn Lập trình SQL có vài câu khó, mình đang đối chiếu tài liệu.","Bài tập lập trình sql","BaiTap","5"
"Deadline đồ án Lập trình mobile đã gần, mình cần hoàn thiện phần demo.","Đồ n lập trình mobile","ThiCuoiKy","3"
"Chiều mai kiểm tra Kinh tế vĩ mô, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra kinh tế vĩ","KiemTraThuongXuyen","3"
"Ai có đề cương thi cuối kỳ môn Động lực học cho mình xin tham khảo.","Thi cuối kỳ động lực","ThiCuoiKy","3"
"Deadline bài tập lớn môn Văn hóa doanh nghiệp sắp tới, mình đang hoàn thiện phần cuối.","Bài tập lớn văn hóa","ThiCuoiKy","3"
"Mình cần chuẩn bị cho bài kiểm tra Lịch sử Đảng, độ khó khá cao.","Kiểm tra lịch sử đảng","KiemTraThuongXuyen","5"
"Mình phải nộp bài tập lớn Lý thuyết thông tin trong tuần này, ai rảnh review giúp mình không?","Bài tập lớn lý thuyết","BaiTap","3"
"Mình cần ôn gấp cho bài thi giữa kỳ Tài chính doanh nghiệp, nội dung khá nhiều.","Thi giữa kỳ tài chính","ThiCuoiKy","5"
"Thầy nhắc nộp báo cáo Cơ học kỹ thuật, mình cần kiểm tra lại format trước khi gửi.","Bo co cơ học kỹ","ThiCuoiKy","3"
"Bài tập lớn môn Giải tích khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập lớn giải tích","BaiTap","3"
"Tuần này có bài kiểm tra môn Tiếng Anh, mình đang ôn lại nội dung chính.","Kiểm tra tiếng anh","KiemTraThuongXuyen","3"
"Đợt thi giữa kỳ môn Toán cao cấp A3 khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ ton cao","ThiCuoiKy","5"
"Đồ án môn Xử lý ảnh số yêu cầu cả báo cáo và source, mình đang soạn lại tài liệu.","Đồ n xử lý ảnh","DuAn","3"
"Chiều mai kiểm tra An toàn thông tin, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra an toàn thông","KiemTraThuongXuyen","3"
"Bài tập về nhà môn Lập trình Prolog cần hoàn thành sớm để kịp hạn nộp.","Bài tập lập trình prolog","BaiTap","3"
"Thi cuối kỳ môn Kế toán quản trị đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ kế ton","ThiCuoiKy","3"
"Nhóm mình cần nộp bài tập môn Hành vi tổ chức trong tuần này.","Bài tập nhóm hành vi","BaiTap","3"
"Thi giữa kỳ môn Vật lý 2 sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ vật lý","ThiCuoiKy","3"
"Mình cần nộp báo cáo môn Vi xử lý trước hạn, hiện đang hoàn thiện số liệu.","Bo co vi xử lý","ThiCuoiKy","3"
"Mình cần chuẩn bị cho bài kiểm tra Kỹ thuật nhiệt, độ khó khá cao.","Kiểm tra kỹ thuật nhiệt","KiemTraThuongXuyen","5"
"Đồ án môn Mạng no-ron nhân tạo còn nhiều việc chưa xong, nhóm mình đang chạy deadline.","Đồ n mạng no-ron nhân","DuAn","3"
"Mình cần ôn gấp cho bài thi giữa kỳ Kỹ thuật điện, nội dung khá nhiều.","Thi giữa kỳ kỹ thuật","ThiCuoiKy","5"
"Mình chưa xong bài tập Phân tích mạch điện, tối nay phải làm dứt điểm.","Bài tập phân tích mạch","BaiTap","3"
"Deadline đồ án Phát triển ứng dụng web đã gần, mình cần hoàn thiện phần demo.","Đồ n pht triển ứng","ThiCuoiKy","3"
"Môn Nguyên lý máy thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ nguyên lý","ThiCuoiKy","5"
"Deadline bài tập lớn môn Mạng máy tính sắp tới, mình đang hoàn thiện phần cuối.","Bài tập lớn mạng my","ThiCuoiKy","3"
"Bài tập môn Hệ thống nhúng có vài câu khó, mình đang đối chiếu tài liệu.","Bài tập hệ thống nhúng","BaiTap","5"
"Đợt thi giữa kỳ môn Sinh thái học môi trường khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ sinh thi","ThiCuoiKy","5"
"Mình phải nộp bài tập lớn Kỹ thuật phần mềm trong tuần này, ai rảnh review giúp mình không?","Bài tập lớn kỹ thuật","BaiTap","3"
"Thi giữa kỳ môn Nguyên lý kế toán sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ nguyên lý","ThiCuoiKy","3"
"Báo cáo Điện lạnh phải nộp trong tuần này, mình đang viết phần nhận xét.","Bo co điện lạnh","ThiCuoiKy","3"
"Đồ án môn Điều khiển tự động yêu cầu cả báo cáo và source, mình đang soạn lại tài liệu.","Đồ n điều khiển tự","DuAn","3"
"Ai có đề cương thi cuối kỳ môn Lập trình C cho mình xin tham khảo.","Thi cuối kỳ lập trình","ThiCuoiKy","3"
"Bài tập về nhà môn Kiến trúc máy tính cần hoàn thành sớm để kịp hạn nộp.","Bài tập kiến trúc my","BaiTap","3"
"Bài tập lớn môn Kinh tế lượng khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập lớn kinh tế","BaiTap","3"
"Mình cần ôn gấp cho bài thi giữa kỳ Tiếng Anh 3, nội dung khá nhiều.","Thi giữa kỳ tiếng anh","ThiCuoiKy","5"
"Thầy nhắc nộp báo cáo Vật liệu xây dựng, mình cần kiểm tra lại format trước khi gửi.","Bo co vật liệu xây","ThiCuoiKy","3"
"Đồ án môn Hệ thống thông tin quản lý còn nhiều việc chưa xong, nhóm mình đang chạy deadline.","Đồ n hệ thống thông","DuAn","3"
"Thi cuối kỳ môn Cơ sở dữ liệu đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ cơ sở","ThiCuoiKy","3"
"Deadline bài tập lớn môn Triết học Mác - Lênin sắp tới, mình đang hoàn thiện phần cuối.","Bài tập lớn triết học","ThiCuoiKy","3"
"Môn Máy điện thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ my điện","ThiCuoiKy","5"
"Mình chưa xong bài tập Lý thuyết xác suất, tối nay phải làm dứt điểm.","Bài tập lý thuyết xc","BaiTap","3"
"Đợt thi giữa kỳ môn Giải tích 2 khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ giải tích","ThiCuoiKy","5"
"Mình phải nộp bài tập lớn Tâm lý học trong tuần này, ai rảnh review giúp mình không?","Bài tập lớn tâm lý","BaiTap","3"
"Deadline đồ án Công nghệ phần mềm đã gần, mình cần hoàn thiện phần demo.","Đồ n công nghệ phần","ThiCuoiKy","3"
"Bài tập môn Đại số tuyến tính có vài câu khó, mình đang đối chiếu tài liệu.","Bài tập đại số tuyến","BaiTap","5"
"Ai có đề cương thi cuối kỳ môn Sinh lý học cho mình xin tham khảo.","Thi cuối kỳ sinh lý","ThiCuoiKy","3"
"Tối nay ăn gì đây, mọi người gợi ý món ngon với.","Nhiệm vụ học tập","Khac","3"
"Hôm nay học căng quá, mình muốn nghỉ xả hơi một chút.","Nhiệm vụ học tập","Khac","3"
"Cuối tuần này ai đi cà phê không, mình đang rảnh.","Nhiệm vụ học tập","OnTap","3"
"Mình vừa xem một bộ phim hay, tối nay ai xem chung không?","Nhiệm vụ học tập","OnTap","3"
"Hôm nay canteen đông quá, chắc mình ra ngoài ăn cho nhanh.","Nhiệm vụ học tập","OnTap","3"
"Mọi người có biết quán trà sữa nào gần trường ngon không?","Nhiệm vụ học tập","OnTap","3"
"Học kỳ này nhiều môn quá, cảm giác hơi quá tải.","Nhiệm vụ học tập","OnTap","3"
"Ai có meme mới không, gửi mình xem với cho đỡ căng thẳng.","Nhiệm vụ học tập","OnTap","3"
"Mình đang tìm chỗ học nhóm yên tĩnh, ai gợi ý giúp mình.","Nhiệm vụ học tập","Khac","3"
"Tuần này mưa liên tục, đi lại bất tiện ghê.","Nhiệm vụ học tập","Khac","3"
"Bài tập nhóm Quản trị học đang thiếu một vài phần, cần họp nhóm gấp.","Bài tập nhóm quản trị","ThiCuoiKy","5"
"Thầy cô nhắc nộp bài tập nhóm Marketing, mình đang tổng hợp nội dung.","Bài tập nhóm marketing","BaiTap","3"
"Nhóm mình cần nộp bài tập môn Kế toán tài chính trong tuần này.","Bài tập nhóm kế ton","BaiTap","3"
"Thi cuối kỳ môn Giải phẫu học đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ giải phẫu","ThiCuoiKy","3"
"Tuần tới có bài tập lớn môn Giải tích nộp rồi nha mấy bạn, đề khó lắm.","Bài tập lớn giải tích","BaiTap","5"
"Nhớ làm bài tập về nhà môn Lập trình C++ trang 45 nha, dễ thôi.","Bài tập lập trình c++","BaiTap","2"
"Thứ 3 tuần này thi giữa kỳ môn Kinh tế vi mô, ôn kỹ chương 3 và 4 nha.","Thi giữa kỳ kinh tế","ThiCuoiKy","3"
"Hôm nay phải nộp báo cáo thực hành Hóa đại cương nhóm 2 rồi đó.","Bo co thực hành hóa","DuAn","3"
"Cuối tuần này thuyết trình môn Marketing, nhóm mình chuẩn bị kỹ vào nha.","Thuyết trình marketing","DuAn","3"
"Thầy dặn làm bài tập chương 5 môn Xác suất thống kê, nộp thứ 4 tuần sau.","Bài tập xc suất thống","BaiTap","3"
"Thi cuối kỳ môn Triết học ngày 15 tháng 12, phần thi tự luận khó lắm.","Thi cuối kỳ triết học","ThiCuoiKy","5"
"Cô nhắc làm tiểu luận môn Văn học nộp trước ngày 20 tháng này nha.","Tiểu luận văn học","DuAn","3"
"Bài tập nhóm môn Kỹ năng mềm hạn nộp thứ 6, nhóm mình làm slide đi nha.","Bài tập nhóm kỹ năng","BaiTap","3"
"Thứ 2 tuần sau kiểm tra 15 phút môn Anh văn chuyên ngành, ôn Unit 3 với 4 nha.","Kiểm tra anh văn chuyên","KiemTraThuongXuyen","3"
"Bài lab môn Mạng máy tính nộp cuối tuần này, cấu hình router đó mấy bạn.","Bài lab mạng my tính","BaiTap","3"
"Nhóm mình còn thiếu phần kết luận báo cáo đồ án môn Cơ sở dữ liệu, hoàn thiện trước thứ 5.","Bo co đồ n cơ","ThiCuoiKy","3"
"Thi lại môn Vật lý đại cương vào tuần sau, lần này phải qua mới được nha.","Thi lại vật lý đại","ThiCuoiKy","3"
"Bài tập phần Tích phân môn Toán cao cấp B2 hạn nộp thứ 3, làm từ bài 1 đến bài 10.","Bài tập ton cao cấp","BaiTap","3"
"Thứ 5 này nộp đồ án môn Lập trình hướng đối tượng, nhóm mình code xong phần giao diện rồi nha.","Đồ n lập trình hướng","DuAn","3"
"Cô Hương nhắc cả lớp bài kiểm tra giữa kỳ môn Kế toán tài chính vào thứ 2 tuần 10.","Thi giữa kỳ kế ton","ThiCuoiKy","3"
"Nhóm báo cáo môn Quản trị học tuần sau, mình phụ trách phần phân tích SWOT nha.","Bo co quản trị học","DuAn","3"
"Bài tập lập trình Python chương 7 nộp thứ 6, làm phần xử lý chuỗi.","Bài tập lập trình python","BaiTap","3"
"Thi cuối kỳ môn Cấu trúc dữ liệu và giải thuật ngày 18/12, ôn phần cây và đồ thị kỹ.","Thi cuối kỳ cấu trúc","ThiCuoiKy","3"
"Nộp báo cáo thực tập tốt nghiệp trước 10/01 nha, định dạng theo mẫu khoa yêu cầu.","Bo co thực tập tốt","DuAn","3"
"Thầy ra đề tiểu luận môn Luật thương mại, chọn 1 trong 5 đề, nộp cuối tháng 11.","Tiểu luận luật thương mại","DuAn","3"
"Bài tập nhóm môn Tâm lý học hạn thứ 4, nhóm mình còn thiếu phần dẫn chứng thực tế.","Bài tập nhóm tâm lý","ThiCuoiKy","3"
"Kiểm tra 1 tiết môn Địa lý kinh tế thứ 3 tuần này, ôn từ chương 1 đến chương 4.","Kiểm tra địa lý kinh","KiemTraThuongXuyen","3"
"Đồ án môn Kỹ thuật phần mềm nộp cuối học kỳ, bảo vệ dự kiến tuần 17.","Đồ n kỹ thuật phần","DuAn","3"
"Thứ 4 tuần này nộp bài luận phân tích tác phẩm môn Ngữ văn đại cương, dài tối thiểu 1500 từ.","Bài luận ngữ văn đại","ThiCuoiKy","4"
"Bài kiểm tra thực hành môn Tin học đại cương tuần sau, ôn Excel và Word nha các bạn.","Kiểm tra thực hành tin","KiemTraThuongXuyen","3"
"Nhóm mình thuyết trình môn Phương pháp nghiên cứu khoa học thứ 5, nộp slide trước hôm đó.","Thuyết trình phương php nckh","DuAn","3"
"Thi lại môn Toán rời rạc đợt này phải ôn kỹ phần logic và lý thuyết đồ thị.","Thi lại ton rời rạc","ThiCuoiKy","3"
"Báo cáo thí nghiệm Vật lý buổi 3 nộp trước 17h thứ 6 nha, viết đủ phần xử lý số liệu.","Bo co thí nghiệm vật","DuAn","3"
"Thứ 2 tới nộp bài tập lớn môn Lý thuyết xác suất, làm phần bài toán Bayes đó.","Bài tập lớn lý thuyết","BaiTap","3"
"Kiểm tra giữa kỳ môn Hệ điều hành vào tuần 8, ôn phần quản lý tiến trình và bộ nhớ.","Thi giữa kỳ hệ điều","ThiCuoiKy","3"
"Cô dặn làm bài tập phần đạo hàm hàm nhiều biến môn Giải tích 2 nộp thứ 4.","Bài tập giải tích 2","BaiTap","3"
"Đồ án cuối kỳ môn An toàn thông tin bảo vệ tuần 16, nhóm mình làm chủ đề mã hóa AES.","Đồ n an toàn thông","ThiCuoiKy","3"
"Bài tập thực hành môn Kiến trúc máy tính làm mạch tổ hợp nộp thứ 5 tuần này.","Bài tập thực hành kiến","BaiTap","3"
"Bài tập lớn môn Nhập môn lập trình nộp thứ 3 tuần 11, làm game đoán số bằng C.","Bài tập lớn nhập môn","BaiTap","3"
