"InputText","TaskName","TaskType","Difficulty","HasDeadline","Urgency","TimeExpression","DeadlineType"
"hợp khoa 14h chiều mai mng ăn mặc lịch sự nha","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"mng đ qên hnay p rep mail của sếp nhé","Nhắc nhở","NhacNho","3","1","low","nay","relative"
"đừg đê sếp nhắc nữa ae tóm tắt file lẹ","Ôn tập","OnTap","3","0","low","","none"
"Thứ 6 tuần sau kiểm tra 1 tiết Lý nha, khá khó.","Kiểm tra 1 tiết Lý nha, khá khó","KiemTraThuongXuyen","3","1","high","thứ 6","weekday"
"Tối nay nộp btl rồi, ai giúp mình với.","Nhắc nhở","NhacNho","3","1","high","tối nay","relative"
"Chị ơi, em chưa hiểu bài này.","Nhắc nhở","NhacNho","3","0","low","","none"
"chj ơi e k hiểu bài quiz tuần này 😐","Kiểm tra","KiemTraThuongXuyen","3","1","low","","submission"
"ai giúp bài project với 😐","Làm project","BaiTap","4","1","low","","submission"
"Tối nay ăn gì mày?","Nhắc nhở","NhacNho","3","1","high","tối nay","relative"
"Thầy dạy chán quá","Nhắc nhở","NhacNho","3","0","low","","none"
"Deadline bài essay là mai rồi, mà mình vẫn chưa viết xong 😓","Nhắc nhở","NhacNho","3","1","high","mai","relative"
"nhóm mình làm prezentasion đến đâu rồi?","Nhắc nhở","NhacNho","3","0","low","","none"
"chị ơi e nộp report 20/10 đc k?","Làm report","BaiTap","3","1","high","","submission"
"bài này khó quá 😐","Nhắc nhở","NhacNho","5","0","low","","none"
"help coding với 😐","Nhắc nhở","NhacNho","3","0","low","","none"
"discusion forum tuần này làm gì v ạ?","Nhắc nhở","NhacNho","3","0","low","","none"
"chưa làm hw 😐","Nhắc nhở","NhacNho","3","0","low","","none"
"help bài này với 😐","Nhắc nhở","NhacNho","3","0","low","","none"
"nhóm mình làm xong chưa 😐","Nhắc nhở","NhacNho","3","0","low","","none"
"coding khó quá 😐","Nhắc nhở","NhacNho","5","0","low","","none"
"chị ơi e cần help 😅","Nhắc nhở","NhacNho","3","0","low","","none"
"ai giúp e với 😐","Nhắc nhở","NhacNho","3","0","low","","none"
"bài này làm gì vậy ạ?","Nhắc nhở","NhacNho","3","0","low","","none"
"deadline là khi nào vậy?","Nhắc nhở","NhacNho","3","0","low","","none"
"e chưa làm xong 😐","Nhắc nhở","NhacNho","3","0","low","","none"
"help me 😐","Nhắc nhở","NhacNho","3","0","low","","none"
"chị ơi e nộp bài muộn đc k?","Nhắc nhở","NhacNho","3","0","low","","none"
"Tối nay đi chơi không?","Nhắc nhở","NhacNho","3","1","high","tối nay","relative"
"Thứ 6 tuần sau kiểm tra 1 tiết Hóa nha, khá dễ.","Kiểm tra 1 tiết Hóa nha, khá dễ","KiemTraThuongXuyen","3","1","high","thứ 6","weekday"
"Chị ơi, em chưa hiểu bài này, giúp em với.","Nhắc nhở","NhacNho","3","0","low","","none"
"Thứ 6 tuần sau kiểm tra 1 tiết Sinh nha, khá khó.","Kiểm tra 1 tiết Sinh nha, khá khó","KiemTraThuongXuyen","3","1","high","thứ 6","weekday"
"Thứ 6 tuần sau kiểm tra 1 tiết Toán nha, khá dễ.","Kiểm tra 1 tiết Toán nha, khá dễ","KiemTraThuongXuyen","3","1","high","thứ 6","weekday"
"Thứ 6 tuần sau kiểm tra 1 tiết Anh nha, khá khó.","Kiểm tra 1 tiết Anh nha, khá khó","KiemTraThuongXuyen","3","1","high","thứ 6","weekday"
"Tuần này có bài kiểm tra môn Lý, mình đang ôn lại nội dung chính.","Kiểm tra môn Lý, mình đang ôn lại nội dung chính","KiemTraThuongXuyen","3","1","high","","submission"
"Deadline bài tập lớn môn Giải tích sắp tới, mình đang hoàn thiện phần cuối.","Bài tập","BaiTap","3","1","high","","submission"
"Thi cuối kỳ môn Lập trình C đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ môn Lập trình C đang đến gần, mì","ThiCuoiKy","3","1","high","hôm nay","relative"
"Mình cần nộp báo cáo môn Vật lý thí nghiệm trước hạn, hiện đang hoàn thiện số liệu.","Nhắc nhở","NhacNho","3","0","low","","none"
"Chiều mai kiểm tra Hóa đại cương, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra Hóa đại cương, ai còn tài liệu ôn tập ch","KiemTraThuongXuyen","3","1","high","mai","relative"
"Mình phải nộp bài tập lớn Mạng máy tính trong tuần này, ai rảnh review giúp mình không?","Bài tập","BaiTap","3","1","high","","submission"
"Bài tập về nhà môn Đại số tuyến tính cần hoàn thành sớm để kịp hạn nộp.","Bài tập","BaiTap","3","1","high","","submission"
"Thi giữa kỳ môn Giải tích 2 sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ môn Giải tích 2 sắp diễn ra, mìn","ThiCuoiKy","3","1","high","","submission"
"Đồ án môn Kỹ thuật phần mềm còn nhiều việc chưa xong, nhóm mình đang chạy deadline.","Làm project","BaiTap","4","1","high","","submission"
"Mình cần chuẩn bị cho bài kiểm tra Triết học, độ khó khá cao.","Kiểm tra Triết học, độ khó khá cao","KiemTraThuongXuyen","3","1","high","","submission"
"Môn Cơ sở dữ liệu thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ khá khó, cần ôn theo từng chương","ThiCuoiKy","5","1","high","","submission"
"Nhóm mình cần nộp bài tập môn Quản trị học trong tuần này.","Bài tập","BaiTap","3","1","high","","submission"
"Tuần này có bài kiểm tra môn Toán cao cấp, mình đang ôn lại nội dung chính.","Kiểm tra môn Toán cao cấp, mình đang ôn lại nội d","KiemTraThuongXuyen","3","1","high","","submission"
"Báo cáo Hóa phân tích phải nộp trong tuần này, mình đang viết phần nhận xét.","Nhắc nhở","NhacNho","3","0","low","","none"
"Bài tập lớn môn Kỹ thuật phần mềm khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập","BaiTap","3","1","low","","submission"
"Ai có đề cương thi cuối kỳ môn Máy điện cho mình xin tham khảo.","Thi cuối kỳ môn Máy điện cho mình xin tham k","ThiCuoiKy","3","1","high","","submission"
"Mình chưa xong bài tập Xác suất thống kê, tối nay phải làm dứt điểm.","Bài tập","BaiTap","3","1","high","tối nay","relative"
"Chiều mai kiểm tra Pháp luật đại cương, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra Pháp luật đại cương, ai còn tài liệu ôn ","KiemTraThuongXuyen","3","1","high","mai","relative"
"Deadline đồ án Thiết kế web đã gần, mình cần hoàn thiện phần demo.","Làm project","BaiTap","4","1","high","","submission"
"Deadline bài tập lớn môn Kinh tế lượng sắp tới, mình đang hoàn thiện phần cuối.","Bài tập","BaiTap","3","1","high","","submission"
"Mình cần ôn gấp cho bài thi giữa kỳ Kinh tế vĩ mô, nội dung khá nhiều.","Thi giữa kỳ Kinh tế vĩ mô, nội dung khá nhiề","ThiCuoiKy","5","1","high","","submission"
"Bài tập nhóm Marketing đang thiếu một vài phần, cần họp nhóm gấp.","Bài tập","BaiTap","5","1","low","","submission"
"Bài tập môn Giải tích số có vài câu khó, mình đang đối chiếu tài liệu.","Bài tập","BaiTap","5","1","low","","submission"
"Thi cuối kỳ môn Sinh lý học đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ môn Sinh lý học đang đến gần, mì","ThiCuoiKy","3","1","high","hôm nay","relative"
"Thầy nhắc nộp báo cáo Hóa sinh, mình cần kiểm tra lại format trước khi gửi.","Kiểm tra lại format trước khi gửi","KiemTraThuongXuyen","3","1","high","","submission"
"Mình cần chuẩn bị cho bài kiểm tra Kinh tế vĩ mô, độ khó khá cao.","Kiểm tra Kinh tế vĩ mô, độ khó khá cao","KiemTraThuongXuyen","3","1","high","","submission"
"Đồ án môn Trí tuệ nhân tạo yêu cầu cả báo cáo và source, mình đang soạn lại tài liệu.","Làm project","BaiTap","4","1","low","","submission"
"Bài tập về nhà môn Lập trình Java cần hoàn thành sớm để kịp hạn nộp.","Bài tập","BaiTap","3","1","high","","submission"
"Đợt thi giữa kỳ môn Toán rời rạc khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ môn Toán rời rạc khó hơn mình dự","ThiCuoiKy","4","1","high","","submission"
"Thầy cô nhắc nộp bài tập nhóm Kế toán tài chính, mình đang tổng hợp nội dung.","Bài tập","BaiTap","3","1","high","","submission"
"Môn Giải phẫu học thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ khá khó, cần ôn theo từng chương","ThiCuoiKy","5","1","high","","submission"
"Mình cần nộp báo cáo môn Điện tử số trước hạn, hiện đang hoàn thiện số liệu.","Nhắc nhở","NhacNho","3","0","low","","none"
"Tuần này có bài kiểm tra môn Lịch sử Đảng, mình đang ôn lại nội dung chính.","Kiểm tra môn Lịch sử Đảng, mình đang ôn lại nội d","KiemTraThuongXuyen","3","1","high","","submission"
"Mình phải nộp bài tập lớn Triết học Mác - Lênin trong tuần này, ai rảnh review giúp mình không?","Bài tập","BaiTap","3","1","high","","submission"
"Ai có đề cương thi cuối kỳ môn Phương trình vi phân cho mình xin tham khảo.","Thi cuối kỳ môn Phương trình vi phân cho mìn","ThiCuoiKy","3","1","high","","submission"
"Bài tập lớn môn Tâm lý học khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập","BaiTap","3","1","low","","submission"
"Chiều mai kiểm tra Tiếng Anh, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra Tiếng Anh, ai còn tài liệu ôn tập cho mì","KiemTraThuongXuyen","3","1","high","mai","relative"
"Đồ án môn Lập trình mobile còn nhiều việc chưa xong, nhóm mình đang chạy deadline.","Làm project","BaiTap","4","1","high","","submission"
"Mình chưa xong bài tập Lập trình SQL, tối nay phải làm dứt điểm.","Bài tập","BaiTap","3","1","high","tối nay","relative"
"Thi giữa kỳ môn Tài chính doanh nghiệp sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ môn Tài chính doanh nghiệp sắp d","ThiCuoiKy","3","1","high","","submission"
"Báo cáo Cơ học kỹ thuật phải nộp trong tuần này, mình đang viết phần nhận xét.","Nhắc nhở","NhacNho","3","0","low","","none"
"Mình cần chuẩn bị cho bài kiểm tra An toàn thông tin, độ khó khá cao.","Kiểm tra An toàn thông tin, độ khó khá cao","KiemTraThuongXuyen","3","1","high","","submission"
"Deadline bài tập lớn môn Luật kinh tế sắp tới, mình đang hoàn thiện phần cuối.","Bài tập","BaiTap","3","1","high","","submission"
"Thi cuối kỳ môn Kỹ thuật số đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ môn Kỹ thuật số đang đến gần, mì","ThiCuoiKy","3","1","high","hôm nay","relative"
"Nhóm mình cần nộp bài tập môn Luật kinh tế trong tuần này.","Bài tập","BaiTap","3","1","high","","submission"
"Bài tập môn Lập trình Prolog có vài câu khó, mình đang đối chiếu tài liệu.","Bài tập","BaiTap","5","1","low","","submission"
"Mình cần ôn gấp cho bài thi giữa kỳ Toán cao cấp A3, nội dung khá nhiều.","Thi giữa kỳ Toán cao cấp A3, nội dung khá nh","ThiCuoiKy","4","1","high","","submission"
"Thầy nhắc nộp báo cáo Vi xử lý, mình cần kiểm tra lại format trước khi gửi.","Kiểm tra lại format trước khi gửi","KiemTraThuongXuyen","3","1","high","","submission"
"Deadline đồ án Xử lý ảnh số đã gần, mình cần hoàn thiện phần demo.","Làm project","BaiTap","4","1","high","","submission"
"Tuần này có bài kiểm tra môn Kỹ thuật nhiệt, mình đang ôn lại nội dung chính.","Kiểm tra môn Kỹ thuật nhiệt, mình đang ôn lại nội","KiemTraThuongXuyen","3","1","high","","submission"
"Mình phải nộp bài tập lớn Truyền thông đa phương tiện trong tuần này, ai rảnh review giúp mình không?","Bài tập","BaiTap","3","1","high","","submission"
"Môn Động lực học thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ khá khó, cần ôn theo từng chương","ThiCuoiKy","5","1","high","","submission"
"Bài tập về nhà môn Phân tích mạch điện cần hoàn thành sớm để kịp hạn nộp.","Bài tập","BaiTap","3","1","high","","submission"
"Chiều mai kiểm tra Lý, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra Lý, ai còn tài liệu ôn tập cho mình xin ","KiemTraThuongXuyen","3","1","high","mai","relative"
"Mình cần nộp báo cáo môn Điện lạnh trước hạn, hiện đang hoàn thiện số liệu.","Nhắc nhở","NhacNho","3","0","low","","none"
"Đợt thi giữa kỳ môn Vật lý 2 khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ môn Vật lý 2 khó hơn mình dự kiế","ThiCuoiKy","5","1","high","","submission"
"Bài tập nhóm Thống kê ứng dụng đang thiếu một vài phần, cần họp nhóm gấp.","Bài tập","BaiTap","5","1","low","","submission"
"Mình chưa xong bài tập Hệ thống nhúng, tối nay phải làm dứt điểm.","Bài tập","BaiTap","3","1","high","tối nay","relative"
"Mình cần chuẩn bị cho bài kiểm tra Hóa đại cương, độ khó khá cao.","Kiểm tra Hóa đại cương, độ khó khá cao","KiemTraThuongXuyen","3","1","high","","submission"
"Đồ án môn Mạng no-ron nhân tạo yêu cầu cả báo cáo và source, mình đang soạn lại tài liệu.","Làm project","BaiTap","4","1","low","","submission"
"Bài tập lớn môn Văn hóa doanh nghiệp khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập","BaiTap","3","1","low","","submission"
"Ai có đề cương thi cuối kỳ môn Kế toán quản trị cho mình xin tham khảo.","Thi cuối kỳ môn Kế toán quản trị cho mình xi","ThiCuoiKy","4","1","high","","submission"
"Bài tập môn Kiến trúc máy tính có vài câu khó, mình đang đối chiếu tài liệu.","Bài tập","BaiTap","5","1","low","","submission"
"Tuần này có bài kiểm tra môn Triết học, mình đang ôn lại nội dung chính.","Kiểm tra môn Triết học, mình đang ôn lại nội dung","KiemTraThuongXuyen","3","1","high","","submission"
"Thầy cô nhắc nộp bài tập nhóm Phân tích thiết kế hệ thống, mình đang tổng hợp nội dung.","Bài tập","BaiTap","3","1","high","","submission"
"Thi giữa kỳ môn Kỹ thuật điện sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ môn Kỹ thuật điện sắp diễn ra, m","ThiCuoiKy","3","1","high","","submission"
"Báo cáo Vật liệu xây dựng phải nộp trong tuần này, mình đang viết phần nhận xét.","Nhắc nhở","NhacNho","3","0","low","","none"
"Thi cuối kỳ môn Nguyên lý máy đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ môn Nguyên lý máy đang đến gần, ","ThiCuoiKy","3","1","high","hôm nay","relative"
"Deadline bài tập lớn môn Lý thuyết thông tin sắp tới, mình đang hoàn thiện phần cuối.","Bài tập","BaiTap","3","1","high","","submission"
"Mình phải nộp bài tập lớn Giải tích trong tuần này, ai rảnh review giúp mình không?","Bài tập","BaiTap","3","1","high","","submission"
"Chiều mai kiểm tra Toán cao cấp, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra Toán cao cấp, ai còn tài liệu ôn tập cho","KiemTraThuongXuyen","3","1","high","mai","relative"
"Bài tập về nhà môn Lý thuyết xác suất cần hoàn thành sớm để kịp hạn nộp.","Bài tập","BaiTap","3","1","high","","submission"
"Môn Lập trình C thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ khá khó, cần ôn theo từng chương","ThiCuoiKy","5","1","high","","submission"
"Đồ án môn Phát triển ứng dụng web còn nhiều việc chưa xong, nhóm mình đang chạy deadline.","Làm project","BaiTap","4","1","high","","submission"
"Mình cần ôn gấp cho bài thi giữa kỳ Sinh thái học môi trường, nội dung khá nhiều.","Thi giữa kỳ Sinh thái học môi trường, nội du","ThiCuoiKy","5","1","high","","submission"
"Thầy nhắc nộp báo cáo Điều dưỡng cơ bản, mình cần kiểm tra lại format trước khi gửi.","Kiểm tra lại format trước khi gửi","KiemTraThuongXuyen","3","1","high","","submission"
"Nhóm mình cần nộp bài tập môn Tài chính quốc tế trong tuần này.","Bài tập","BaiTap","3","1","high","","submission"
"Mình cần chuẩn bị cho bài kiểm tra Pháp luật đại cương, độ khó khá cao.","Kiểm tra Pháp luật đại cương, độ khó khá cao","KiemTraThuongXuyen","3","1","high","","submission"
"Ai có đề cương thi cuối kỳ môn Cơ sở dữ liệu cho mình xin tham khảo.","Thi cuối kỳ môn Cơ sở dữ liệu cho mình xin t","ThiCuoiKy","3","1","high","","submission"
"Mình chưa xong bài tập Đại số tuyến tính, tối nay phải làm dứt điểm.","Bài tập","BaiTap","3","1","high","tối nay","relative"
"Deadline đồ án Điều khiển tự động đã gần, mình cần hoàn thiện phần demo.","Làm project","BaiTap","4","1","high","","submission"
"Tuần này có bài kiểm tra môn Kinh tế vĩ mô, mình đang ôn lại nội dung chính.","Kiểm tra môn Kinh tế vĩ mô, mình đang ôn lại nội ","KiemTraThuongXuyen","3","1","high","","submission"
"Đợt thi giữa kỳ môn Nguyên lý kế toán khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ môn Nguyên lý kế toán khó hơn mì","ThiCuoiKy","4","1","high","","submission"
"Bài tập lớn môn Mạng máy tính khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập","BaiTap","3","1","low","","submission"
"Mình cần nộp báo cáo môn Thực tập tốt nghiệp trước hạn, hiện đang hoàn thiện số liệu.","Nhắc nhở","NhacNho","3","0","low","","none"
"Chiều mai kiểm tra Lịch sử Đảng, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra Lịch sử Đảng, ai còn tài liệu ôn tập cho","KiemTraThuongXuyen","3","1","high","mai","relative"
"Đồ án môn Hệ thống thông tin quản lý yêu cầu cả báo cáo và source, mình đang soạn lại tài liệu.","Làm project","BaiTap","4","1","low","","submission"
"Thi cuối kỳ môn Máy điện đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ môn Máy điện đang đến gần, mình ","ThiCuoiKy","3","1","high","hôm nay","relative"
"Bài tập môn Xác suất thống kê có vài câu khó, mình đang đối chiếu tài liệu.","Bài tập","BaiTap","5","1","low","","submission"
"Mình cần chuẩn bị cho bài kiểm tra Tiếng Anh, độ khó khá cao.","Kiểm tra Tiếng Anh, độ khó khá cao","KiemTraThuongXuyen","3","1","high","","submission"
"Deadline bài tập lớn môn Kỹ thuật phần mềm sắp tới, mình đang hoàn thiện phần cuối.","Bài tập","BaiTap","3","1","high","","submission"
"Thi giữa kỳ môn Tiếng Anh 3 sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ môn Tiếng Anh 3 sắp diễn ra, mìn","ThiCuoiKy","3","1","high","","submission"
"Báo cáo Vật lý thí nghiệm phải nộp trong tuần này, mình đang viết phần nhận xét.","Nhắc nhở","NhacNho","3","0","low","","none"
"Bài tập nhóm Nghiên cứu thị trường đang thiếu một vài phần, cần họp nhóm gấp.","Bài tập","BaiTap","5","1","low","","submission"
"Tuần này có bài kiểm tra môn An toàn thông tin, mình đang ôn lại nội dung chính.","Kiểm tra môn An toàn thông tin, mình đang ôn lại ","KiemTraThuongXuyen","3","1","high","","submission"
"Đồ án môn Công nghệ phần mềm còn nhiều việc chưa xong, nhóm mình đang chạy deadline.","Làm project","BaiTap","4","1","high","","submission"
"Môn Sinh lý học thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ khá khó, cần ôn theo từng chương","ThiCuoiKy","5","1","high","","submission"
"Bài tập về nhà môn Giải tích số cần hoàn thành sớm để kịp hạn nộp.","Bài tập","BaiTap","3","1","high","","submission"
"Chiều mai kiểm tra Kỹ thuật nhiệt, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra Kỹ thuật nhiệt, ai còn tài liệu ôn tập c","KiemTraThuongXuyen","3","1","high","mai","relative"
"Mình cần ôn gấp cho bài thi giữa kỳ Giải tích 2, nội dung khá nhiều.","Thi giữa kỳ Giải tích 2, nội dung khá nhiều","ThiCuoiKy","5","1","high","","submission"
"Mình phải nộp bài tập lớn Kinh tế lượng trong tuần này, ai rảnh review giúp mình không?","Bài tập","BaiTap","3","1","high","","submission"
"Deadline đồ án Kỹ thuật phần mềm đã gần, mình cần hoàn thiện phần demo.","Làm project","BaiTap","4","1","high","","submission"
"Mình cần chuẩn bị cho bài kiểm tra Lý, độ khó khá cao.","Kiểm tra Lý, độ khó khá cao","KiemTraThuongXuyen","3","1","high","","submission"
"Thầy nhắc nộp báo cáo Hóa phân tích, mình cần kiểm tra lại format trước khi gửi.","Kiểm tra lại format trước khi gửi","KiemTraThuongXuyen","3","1","high","","submission"
"Ai có đề cương thi cuối kỳ môn Giải phẫu học cho mình xin tham khảo.","Thi cuối kỳ môn Giải phẫu học cho mình xin t","ThiCuoiKy","3","1","high","","submission"
"Thầy cô nhắc nộp bài tập nhóm Tâm lý khách hàng, mình đang tổng hợp nội dung.","Bài tập","BaiTap","3","1","high","","submission"
"Tuần này có bài kiểm tra môn Hóa đại cương, mình đang ôn lại nội dung chính.","Kiểm tra môn Hóa đại cương, mình đang ôn lại nội ","KiemTraThuongXuyen","3","1","high","","submission"
"Mình chưa xong bài tập Lập trình Java, tối nay phải làm dứt điểm.","Bài tập","BaiTap","3","1","high","tối nay","relative"
"Đợt thi giữa kỳ môn Kinh tế vĩ mô khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ môn Kinh tế vĩ mô khó hơn mình d","ThiCuoiKy","5","1","high","","submission"
"Bài tập lớn môn Triết học Mác - Lênin khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập","BaiTap","3","1","low","","submission"
"Chiều mai kiểm tra Triết học, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra Triết học, ai còn tài liệu ôn tập cho mì","KiemTraThuongXuyen","3","1","high","mai","relative"
"Mình cần nộp báo cáo môn Hóa sinh trước hạn, hiện đang hoàn thiện số liệu.","Nhắc nhở","NhacNho","3","0","low","","none"
"Đồ án môn Thiết kế web yêu cầu cả báo cáo và source, mình đang soạn lại tài liệu.","Làm project","BaiTap","4","1","low","","submission"
"Thi cuối kỳ môn Phương trình vi phân đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ môn Phương trình vi phân đang đế","ThiCuoiKy","3","1","high","hôm nay","relative"
"Deadline bài tập lớn môn Tâm lý học sắp tới, mình đang hoàn thiện phần cuối.","Bài tập","BaiTap","3","1","high","","submission"
"Mình cần chuẩn bị cho bài kiểm tra Toán cao cấp, độ khó khá cao.","Kiểm tra Toán cao cấp, độ khó khá cao","KiemTraThuongXuyen","3","1","high","","submission"
"Đồ án môn Trí tuệ nhân tạo còn nhiều việc chưa xong, nhóm mình đang chạy deadline.","Làm project","BaiTap","4","1","high","","submission"
"Báo cáo Điện tử số phải nộp trong tuần này, mình đang viết phần nhận xét.","Nhắc nhở","NhacNho","3","0","low","","none"
"Thi giữa kỳ môn Toán rời rạc sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ môn Toán rời rạc sắp diễn ra, mì","ThiCuoiKy","4","1","high","","submission"
"Mình phải nộp bài tập lớn Luật kinh tế trong tuần này, ai rảnh review giúp mình không?","Bài tập","BaiTap","3","1","high","","submission"
"Tuần này có bài kiểm tra môn Pháp luật đại cương, mình đang ôn lại nội dung chính.","Kiểm tra môn Pháp luật đại cương, mình đang ôn lạ","KiemTraThuongXuyen","3","1","high","","submission"
"Bài tập lớn môn Truyền thông đa phương tiện khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập","BaiTap","3","1","low","","submission"
"Môn Kỹ thuật số thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ khá khó, cần ôn theo từng chương","ThiCuoiKy","5","1","high","","submission"
"Bài tập môn Lập trình SQL có vài câu khó, mình đang đối chiếu tài liệu.","Bài tập","BaiTap","5","1","low","","submission"
"Deadline đồ án Lập trình mobile đã gần, mình cần hoàn thiện phần demo.","Làm project","BaiTap","4","1","high","","submission"
"Chiều mai kiểm tra Kinh tế vĩ mô, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra Kinh tế vĩ mô, ai còn tài liệu ôn tập ch","KiemTraThuongXuyen","3","1","high","mai","relative"
"Ai có đề cương thi cuối kỳ môn Động lực học cho mình xin tham khảo.","Thi cuối kỳ môn Động lực học cho mình xin th","ThiCuoiKy","3","1","high","","submission"
"Deadline bài tập lớn môn Văn hóa doanh nghiệp sắp tới, mình đang hoàn thiện phần cuối.","Bài tập","BaiTap","3","1","high","","submission"
"Mình cần chuẩn bị cho bài kiểm tra Lịch sử Đảng, độ khó khá cao.","Kiểm tra Lịch sử Đảng, độ khó khá cao","KiemTraThuongXuyen","3","1","high","","submission"
"Mình phải nộp bài tập lớn Lý thuyết thông tin trong tuần này, ai rảnh review giúp mình không?","Bài tập","BaiTap","3","1","high","","submission"
"Mình cần ôn gấp cho bài thi giữa kỳ Tài chính doanh nghiệp, nội dung khá nhiều.","Thi giữa kỳ Tài chính doanh nghiệp, nội dung","ThiCuoiKy","5","1","high","","submission"
"Thầy nhắc nộp báo cáo Cơ học kỹ thuật, mình cần kiểm tra lại format trước khi gửi.","Kiểm tra lại format trước khi gửi","KiemTraThuongXuyen","3","1","high","","submission"
"Bài tập lớn môn Giải tích khá nặng, mình đang chia nhỏ công việc để làm dần.","Bài tập","BaiTap","3","1","low","","submission"
"Tuần này có bài kiểm tra môn Tiếng Anh, mình đang ôn lại nội dung chính.","Kiểm tra môn Tiếng Anh, mình đang ôn lại nội dung","KiemTraThuongXuyen","3","1","high","","submission"
"Đợt thi giữa kỳ môn Toán cao cấp A3 khó hơn mình dự kiến, phải tập trung hơn.","Thi giữa kỳ môn Toán cao cấp A3 khó hơn mình","ThiCuoiKy","4","1","high","","submission"
"Đồ án môn Xử lý ảnh số yêu cầu cả báo cáo và source, mình đang soạn lại tài liệu.","Làm project","BaiTap","4","1","low","","submission"
"Chiều mai kiểm tra An toàn thông tin, ai còn tài liệu ôn tập cho mình xin với.","Kiểm tra An toàn thông tin, ai còn tài liệu ôn tậ","KiemTraThuongXuyen","3","1","high","mai","relative"
"Bài tập về nhà môn Lập trình Prolog cần hoàn thành sớm để kịp hạn nộp.","Bài tập","BaiTap","3","1","high","","submission"
"Thi cuối kỳ môn Kế toán quản trị đang đến gần, mình bắt đầu ôn từ hôm nay.","Thi cuối kỳ môn Kế toán quản trị đang đến gầ","ThiCuoiKy","4","1","high","hôm nay","relative"
"Nhóm mình cần nộp bài tập môn Hành vi tổ chức trong tuần này.","Bài tập","BaiTap","3","1","high","","submission"
"Thi giữa kỳ môn Vật lý 2 sắp diễn ra, mình đang ôn theo đề cương.","Thi giữa kỳ môn Vật lý 2 sắp diễn ra, mình đ","ThiCuoiKy","3","1","high","","submission"
"Mình cần nộp báo cáo môn Vi xử lý trước hạn, hiện đang hoàn thiện số liệu.","Nhắc nhở","NhacNho","3","0","low","","none"
"Mình cần chuẩn bị cho bài kiểm tra Kỹ thuật nhiệt, độ khó khá cao.","Kiểm tra Kỹ thuật nhiệt, độ khó khá cao","KiemTraThuongXuyen","3","1","high","","submission"
"Đồ án môn Mạng no-ron nhân tạo còn nhiều việc chưa xong, nhóm mình đang chạy deadline.","Làm project","BaiTap","4","1","high","","submission"
"Mình cần ôn gấp cho bài thi giữa kỳ Kỹ thuật điện, nội dung khá nhiều.","Thi giữa kỳ Kỹ thuật điện, nội dung khá nhiề","ThiCuoiKy","5","1","high","","submission"
"Mình chưa xong bài tập Phân tích mạch điện, tối nay phải làm dứt điểm.","Bài tập","BaiTap","3","1","high","tối nay","relative"
"Deadline đồ án Phát triển ứng dụng web đã gần, mình cần hoàn thiện phần demo.","Làm project","BaiTap","4","1","high","","submission"
"Môn Nguyên lý máy thi cuối kỳ khá khó, cần ôn theo từng chương.","Thi cuối kỳ khá khó, cần ôn theo từng chương","ThiCuoiKy","5","1","high","","submission"
